year,area_burned_ha,area_burned_acres
2023,18496051,45704741
2022,1467970,3627433
2021,4299448,10624168
2020,229267,566531
2019,1838953,4544152
2018,2266585,5600854
2017,3456768,8541860
2016,1400627,3461025
2015,3969536,9808938
2014,4607677,11385819
2013,3798229,9385629
2012,1928138,4764533
2011,2563289,6334026
2010,3182609,7864399
2009,326420,806601
2008,1646972,4069757
2007,1661422,4105463
2006,2031702,5020445
2005,1728145,4270340
2004,3104010,7670176
2003,1585569,3918027
2002,2652910,6555484
2001,607292,1500651
2000,632396,1562685
1999,1678386,4147382
1998,4462743,11027679
1997,502223,1241020
1996,1758260,4344755
1995,7105998,17559305
1994,5281379,13050573
1993,1868056,4616067
