"","Date","Daily Max 8-hour Ozone Concentration","name","exceedence"
"1",2023-05-01,0.029,"Chicago nonexceedence","N"
"2",2023-05-02,0.035,"Chicago nonexceedence","N"
"3",2023-05-03,0.03,"Chicago nonexceedence","N"
"4",2023-05-04,0.049,"Chicago nonexceedence","N"
"5",2023-05-05,0.058,"Chicago nonexceedence","N"
"6",2023-05-06,0.052,"Chicago nonexceedence","N"
"7",2023-05-07,0.055,"Chicago nonexceedence","N"
"8",2023-05-08,0.028,"Chicago nonexceedence","N"
"9",2023-05-09,0.034,"Chicago nonexceedence","N"
"10",2023-05-10,0.061,"Chicago nonexceedence","N"
"11",2023-05-11,0.066,"Chicago nonexceedence","N"
"12",2023-05-12,0.037,"Chicago nonexceedence","N"
"13",2023-05-13,0.052,"Chicago nonexceedence","N"
"14",2023-05-14,0.039,"Chicago nonexceedence","N"
"15",2023-05-15,0.043,"Chicago nonexceedence","N"
"16",2023-05-16,0.057,"Chicago nonexceedence","N"
"17",2023-05-17,0.039,"Chicago nonexceedence","N"
"18",2023-05-18,0.053,"Chicago nonexceedence","N"
"19",2023-05-19,0.047,"Chicago nonexceedence","N"
"20",2023-05-20,0.038,"Chicago nonexceedence","N"
"21",2023-05-21,0.06,"Chicago nonexceedence","N"
"22",2023-05-22,0.063,"Chicago nonexceedence","N"
"23",2023-05-23,0.076,"Chicago","Y"
"24",2023-05-24,0.049,"Chicago nonexceedence","N"
"25",2023-05-25,0.037,"Chicago nonexceedence","N"
"26",2023-05-26,0.052,"Chicago nonexceedence","N"
"27",2023-05-27,0.061,"Chicago nonexceedence","N"
"28",2023-05-28,0.06,"Chicago nonexceedence","N"
"29",2023-05-29,0.07,"Chicago nonexceedence","N"
"30",2023-05-30,0.071,"Chicago","Y"
"31",2023-05-31,0.054,"Chicago nonexceedence","N"
"32",2023-06-01,0.072,"Chicago","Y"
"33",2023-06-02,0.083,"Chicago","Y"
"34",2023-06-03,0.075,"Chicago","Y"
