"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"02/23/2023","AirNow","170310076","1","0.033","ppm","31","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007","0.033","."
"02/24/2023","AirNow","170310076","1","0.034","ppm","31","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007","0.034","."
"02/25/2023","AirNow","170310076","1","0.028","ppm","26","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007","0.028","."
"02/26/2023","AirNow","170310076","1","0.03","ppm","28","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007","0.03","."
"02/27/2023","AirNow","170310076","1","0.036","ppm","33","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007","0.036","."
"02/28/2023","AirNow","170310076","1","0.032","ppm","30","COM ED MAINTENANCE BLDG","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007","0.032","."
"03/01/2023","AQS","170310076","1","0.036","ppm","33","COM ED MAINTENANCE BLDG","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","0.036"
"03/02/2023","AQS","170310076","1","0.034","ppm","31","COM ED MAINTENANCE BLDG","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","0.034"
"03/03/2023","AQS","170310076","1","0.032","ppm","30","COM ED MAINTENANCE BLDG","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","0.032"
"03/04/2023","AQS","170310076","1","0.031","ppm","29","COM ED MAINTENANCE BLDG","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","0.031"
"03/05/2023","AQS","170310076","1","0.038","ppm","35","COM ED MAINTENANCE BLDG","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.7513999786378","-87.7134881520007",".","0.038"
