"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"03/01/2023","AQS","390350034","1","0.034","ppm","31","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.034"
"03/02/2023","AQS","390350034","1","0.037","ppm","34","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.037"
"03/03/2023","AQS","390350034","1","0.038","ppm","35","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.038"
"03/04/2023","AQS","390350034","1","0.044","ppm","41","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.044"
"03/05/2023","AQS","390350034","1","0.044","ppm","41","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.044"
"03/06/2023","AQS","390350034","1","0.04","ppm","37","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.04"
"03/07/2023","AQS","390350034","1","0.043","ppm","40","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.043"
"03/08/2023","AQS","390350034","1","0.043","ppm","40","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.043"
"03/09/2023","AQS","390350034","1","0.043","ppm","40","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.043"
"03/10/2023","AQS","390350034","1","0.04","ppm","37","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.04"
"03/11/2023","AQS","390350034","1","0.043","ppm","40","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.043"
"03/12/2023","AQS","390350034","1","0.038","ppm","35","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.038"
"03/13/2023","AQS","390350034","1","0.036","ppm","33","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.036"
"03/14/2023","AQS","390350034","1","0.047","ppm","44","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.047"
"03/15/2023","AQS","390350034","1","0.048","ppm","44","District 6","15","88.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.048"
"03/16/2023","AQS","390350034","1","0.049","ppm","45","District 6","17","100.0000","44201","Ozone","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.55523","-81.575256",".","0.049"
