"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"02/13/2023","AirNow","170890005","1","0.037","ppm","34","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.037","."
"02/14/2023","AirNow","170890005","1","0.037","ppm","34","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.037","."
"02/15/2023","AirNow","170890005","1","0.029","ppm","27","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.029","."
"02/16/2023","AirNow","170890005","1","0.031","ppm","29","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.031","."
"02/17/2023","AirNow","170890005","1","0.035","ppm","32","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.035","."
"02/18/2023","AirNow","170890005","1","0.032","ppm","30","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.032","."
"02/19/2023","AirNow","170890005","1","0.034","ppm","31","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.034","."
"02/20/2023","AirNow","170890005","1","0.032","ppm","30","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.032","."
"02/21/2023","AirNow","170890005","1","0.032","ppm","30","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.032","."
"02/22/2023","AirNow","170890005","1","0.026","ppm","24","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.026","."
"02/23/2023","AirNow","170890005","1","0.037","ppm","34","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.037","."
"02/24/2023","AirNow","170890005","1","0.032","ppm","30","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.032","."
"02/25/2023","AirNow","170890005","1","0.029","ppm","27","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.029","."
"02/26/2023","AirNow","170890005","1","0.037","ppm","34","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.037","."
"02/27/2023","AirNow","170890005","1","0.036","ppm","33","LARSEN JUNIOR HIGH","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","089","Kane","42.0491477640379","-88.2730292914349","0.036","."
