"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"03/01/2023","AQS","550590019","1","0.04","ppm","37","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.04"
"03/02/2023","AQS","550590019","1","0.044","ppm","41","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.044"
"03/03/2023","AQS","550590019","1","0.042","ppm","39","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.042"
"03/04/2023","AQS","550590019","1","0.038","ppm","35","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.038"
"03/05/2023","AQS","550590019","1","0.051","ppm","47","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.051"
"03/06/2023","AQS","550590019","1","0.042","ppm","39","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.042"
"03/07/2023","AQS","550590019","1","0.045","ppm","42","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.045"
"03/08/2023","AQS","550590019","1","0.047","ppm","44","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.047"
"03/09/2023","AQS","550590019","1","0.044","ppm","41","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.044"
"03/10/2023","AQS","550590019","1","0.044","ppm","41","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.044"
"03/11/2023","AQS","550590019","1","0.048","ppm","44","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.048"
"03/12/2023","AQS","550590019","1","0.043","ppm","40","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.043"
"03/13/2023","AQS","550590019","1","0.044","ppm","41","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.044"
"03/14/2023","AQS","550590019","1","0.047","ppm","44","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.047"
"03/15/2023","AQS","550590019","1","0.043","ppm","40","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.043"
"03/16/2023","AQS","550590019","1","0.032","ppm","30","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.032"
"03/17/2023","AQS","550590019","1","0.04","ppm","37","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.04"
"03/18/2023","AQS","550590019","1","0.039","ppm","36","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.039"
"03/19/2023","AQS","550590019","1","0.044","ppm","41","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.044"
"03/20/2023","AQS","550590019","1","0.047","ppm","44","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.047"
"03/21/2023","AQS","550590019","1","0.042","ppm","39","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.042"
"03/22/2023","AQS","550590019","1","0.033","ppm","31","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.033"
"03/23/2023","AQS","550590019","1","0.049","ppm","45","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.049"
"03/24/2023","AQS","550590019","1","0.049","ppm","45","CHIWAUKEE PRAIRIE STATELINE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","55","Wisconsin","059","Kenosha","42.50472","-87.8093",".","0.049"
