"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"02/24/2023","AirNow","261210039","1","0.038","ppm","35","MUSKEGON","24","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265","0.038","."
"02/25/2023","AirNow","261210039","1","0.033","ppm","31","MUSKEGON","24","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265","0.033","."
"02/26/2023","AirNow","261210039","1","0.046","ppm","43","MUSKEGON","24","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265","0.046","."
"02/27/2023","AirNow","261210039","1","0.04","ppm","37","MUSKEGON","24","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265","0.04","."
"02/28/2023","AirNow","261210039","1","0.043","ppm","40","MUSKEGON","24","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265","0.043","."
"03/01/2023","AQS","261210039","1","0.033","ppm","31","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.033"
"03/02/2023","AQS","261210039","1","0.04","ppm","37","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.04"
"03/03/2023","AQS","261210039","1","0.039","ppm","36","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.039"
"03/04/2023","AQS","261210039","1","0.036","ppm","33","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.036"
"03/05/2023","AQS","261210039","1","0.044","ppm","41","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.044"
"03/06/2023","AQS","261210039","1","0.038","ppm","35","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.038"
"03/07/2023","AQS","261210039","1","0.042","ppm","39","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.042"
"03/08/2023","AQS","261210039","1","0.042","ppm","39","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.042"
"03/09/2023","AQS","261210039","1","0.04","ppm","37","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.04"
"03/10/2023","AQS","261210039","1","0.037","ppm","34","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.037"
"03/11/2023","AQS","261210039","1","0.042","ppm","39","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.042"
"03/12/2023","AQS","261210039","1","0.035","ppm","32","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.035"
"03/13/2023","AQS","261210039","1","0.042","ppm","39","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.042"
"03/14/2023","AQS","261210039","1","0.044","ppm","41","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.044"
"03/15/2023","AQS","261210039","1","0.045","ppm","42","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.045"
"03/16/2023","AQS","261210039","1","0.04","ppm","37","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.04"
"03/17/2023","AQS","261210039","1","0.04","ppm","37","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.04"
"03/18/2023","AQS","261210039","1","0.044","ppm","41","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.044"
"03/19/2023","AQS","261210039","1","0.044","ppm","41","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.044"
"03/20/2023","AQS","261210039","1","0.045","ppm","42","MUSKEGON","17","100.0000","44201","Ozone","34740","Muskegon, MI","26","Michigan","121","Muskegon","43.2780605982874","-86.3110825322265",".","0.045"
