"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"02/13/2023","AirNow","170971007","1","0.042","ppm","39","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.042","."
"02/14/2023","AirNow","170971007","1","0.039","ppm","36","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.039","."
"02/15/2023","AirNow","170971007","1","0.035","ppm","32","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.035","."
"02/16/2023","AirNow","170971007","1","0.036","ppm","33","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.036","."
"02/17/2023","AirNow","170971007","1","0.04","ppm","37","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.04","."
"02/18/2023","AirNow","170971007","1","0.038","ppm","35","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.038","."
"02/19/2023","AirNow","170971007","1","0.038","ppm","35","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.038","."
"02/20/2023","AirNow","170971007","1","0.038","ppm","35","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.038","."
"02/21/2023","AirNow","170971007","1","0.036","ppm","33","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.036","."
"02/22/2023","AirNow","170971007","1","0.032","ppm","30","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.032","."
"02/23/2023","AirNow","170971007","1","0.039","ppm","36","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.039","."
"02/24/2023","AirNow","170971007","1","0.041","ppm","38","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.041","."
"02/25/2023","AirNow","170971007","1","0.033","ppm","31","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.033","."
"02/26/2023","AirNow","170971007","1","0.045","ppm","42","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.045","."
"02/27/2023","AirNow","170971007","1","0.04","ppm","37","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.04","."
"02/28/2023","AirNow","170971007","1","0.044","ppm","41","CAMP LOGAN TRAILER","24","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758","0.044","."
"03/01/2023","AQS","170971007","1","0.04","ppm","37","CAMP LOGAN TRAILER","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758",".","0.04"
"03/02/2023","AQS","170971007","1","0.043","ppm","40","CAMP LOGAN TRAILER","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","097","Lake","42.4675733011521","-87.8100470490758",".","0.043"
