time_stamp,humidity,humidity_a,humidity_b,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2023-04-01T00:00:00Z,61.9,61.9,61.9,10.8,11.9,9.6,18.9175,21.114,16.721,18.9545,21.188,16.721
2023-04-01T01:00:00Z,61.2,61.2,61.2,2.5,2.7,2.3,3.743,4.231,3.255,3.743,4.231,3.255
2023-04-01T02:00:00Z,57.334,57.334,57.334,1.9,2.1,1.8,2.7195,3.086,2.353,2.7195,3.086,2.353
2023-04-01T03:00:00Z,60.5,60.5,60.5,2.7,2.9,2.4,4.050000000000001,4.613,3.487,4.050000000000001,4.613,3.487
2023-04-01T04:00:00Z,56.767,56.767,56.767,7.4,7.8,7,14.2475,15.416,13.079,14.2475,15.416,13.079
2023-04-01T05:00:00Z,54.867,54.867,54.867,9.2,9.7,8.8,18.993000000000002,20.55,17.436,18.993000000000002,20.55,17.436
2023-04-01T06:00:00Z,51.633,51.633,51.633,9.4,9.8,8.9,19.264499999999998,20.748,17.781,19.264499999999998,20.748,17.781
2023-04-01T07:00:00Z,51.8,51.8,51.8,9.2,9.7,8.7,19.149500000000003,20.85,17.449,19.149500000000003,20.85,17.449
2023-04-01T08:00:00Z,52.834,52.834,52.834,8.9,9.4,8.4,19.104,20.817,17.391,19.104,20.817,17.391
2023-04-01T09:00:00Z,52.633,52.633,52.633,7.5,7.9,7.1,16.0795,17.316,14.843,16.0795,17.316,14.843
2023-04-01T10:00:00Z,48.667,48.667,48.667,5,5.3,4.8,10.559000000000001,11.236,9.882,10.559000000000001,11.236,9.882
2023-04-01T11:00:00Z,49.6,49.6,49.6,5.7,6.1,5.3,12.1475,13.229,11.066,12.1475,13.229,11.066
2023-04-01T12:00:00Z,50.1,50.1,50.1,3.6,3.9,3.4,7.161,7.963,6.359,7.161,7.963,6.359
2023-04-01T13:00:00Z,53.267,53.267,53.267,2.9,3.2,2.6,5.443,6.139,4.747,5.443,6.139,4.747
2023-04-01T14:00:00Z,57.367,57.367,57.367,2.5,2.8,2.3,4.435,5.108,3.762,4.435,5.108,3.762
2023-04-01T15:00:00Z,58.867,58.867,58.867,2,2.2,1.7,3.0615,3.701,2.422,3.0615,3.701,2.422
2023-04-01T16:00:00Z,52.733,52.733,52.733,0.4,0.4,0.3,0.134,0.197,0.071,0.134,0.197,0.071
2023-04-01T17:00:00Z,53.4,53.4,53.4,0.8,0.9,0.7,0.64,0.777,0.503,0.64,0.777,0.503
2023-04-01T18:00:00Z,51.266,51.266,51.266,1.4,1.5,1.3,1.8645,2.106,1.623,1.8645,2.106,1.623
2023-04-01T19:00:00Z,48.666,48.666,48.666,1.9,2,1.7,2.7140000000000004,2.99,2.438,2.7140000000000004,2.99,2.438
2023-04-01T20:00:00Z,47.6,47.6,47.6,2.4,2.6,2.3,4.111,4.598,3.624,4.111,4.598,3.624
2023-04-01T21:00:00Z,46.367,46.367,46.367,2.3,2.5,2.2,3.8535000000000004,4.392,3.315,3.8535000000000004,4.392,3.315
2023-04-01T22:00:00Z,45.034,45.034,45.034,2.5,2.7,2.3,3.9115,4.357,3.466,3.9115,4.357,3.466
2023-04-01T23:00:00Z,42.6,42.6,42.6,2.6,2.8,2.4,4.147,4.554,3.74,4.1495,4.559,3.74
2023-04-02T00:00:00Z,41.233,41.233,41.233,2.3,2.4,2.1,3.3354999999999997,3.71,2.961,3.3354999999999997,3.71,2.961
2023-04-02T01:00:00Z,42.334,42.334,42.334,2.4,2.6,2.2,3.758,4.088,3.428,3.758,4.088,3.428
2023-04-02T02:00:00Z,43.766,43.766,43.766,3,3.3,2.8,5.608499999999999,6.005,5.212,5.608499999999999,6.005,5.212
2023-04-02T03:00:00Z,45.7,45.7,45.7,4.7,4.9,4.4,9.4955,10.269,8.722,9.4955,10.269,8.722
2023-04-02T04:00:00Z,46.233,46.233,46.233,4.8,5.1,4.4,10.0395,10.833,9.246,10.0395,10.833,9.246
2023-04-02T05:00:00Z,47.867,47.867,47.867,4,4.3,3.6,8.079,8.929,7.229,8.079,8.929,7.229
2023-04-02T06:00:00Z,48.867,48.867,48.867,4,4.3,3.6,8.2625,9.146,7.379,8.2625,9.146,7.379
2023-04-02T07:00:00Z,50.067,50.067,50.067,3.6,4,3.2,7.359,8.301,6.417,7.359,8.301,6.417
2023-04-02T08:00:00Z,50.766,50.766,50.766,3.5,3.9,3.2,7.278,8.245,6.311,7.278,8.245,6.311
2023-04-02T09:00:00Z,51.834,51.834,51.834,5.2,5.6,4.7,11.738499999999998,13.088,10.389,11.738499999999998,13.088,10.389
2023-04-02T10:00:00Z,51.9,51.9,51.9,12.8,13.6,11.9,32.1785,34.906,29.451,32.547,35.611,29.483
2023-04-02T11:00:00Z,52.5,52.5,52.5,13.4,14.1,12.7,33.278,35.754,30.802,33.373999999999995,35.925,30.823
2023-04-02T12:00:00Z,51.267,51.267,51.267,11.7,12.4,11,28.7675,31.214,26.321,28.789,31.257,26.321
2023-04-02T13:00:00Z,45.8,45.8,45.8,9.4,9.7,9.1,21.0415,22.494,19.589,21.0415,22.494,19.589
2023-04-02T14:00:00Z,44.2,44.2,44.2,8.1,8.5,7.6,17.0295,18.407,15.652,17.0295,18.407,15.652
2023-04-02T15:00:00Z,39.533,39.533,39.533,8.3,8.8,7.8,17.0685,18.295,15.842,17.718,19.014,16.422
2023-04-02T16:00:00Z,36.733,36.733,36.733,6,6.6,5.5,11.3775,12.456,10.299,11.38,12.457,10.303
2023-04-02T17:00:00Z,34.6,34.6,34.6,5.7,6.2,5.3,9.907499999999999,10.741,9.074,9.907499999999999,10.741,9.074
2023-04-02T18:00:00Z,34.433,34.433,34.433,5.3,5.6,5,8.676,9.366,7.986,8.676,9.366,7.986
2023-04-02T19:00:00Z,34.867,34.867,34.867,4.4,4.8,4.1,7.144,7.867,6.421,7.144,7.867,6.421
2023-04-02T20:00:00Z,33.767,33.767,33.767,3.7,4.1,3.4,5.9965,6.745,5.248,5.9965,6.745,5.248
2023-04-02T21:00:00Z,34.534,34.534,34.534,3.3,3.5,3,5.1259999999999994,5.694,4.558,5.1259999999999994,5.694,4.558
2023-04-02T22:00:00Z,35.067,35.067,35.067,2.6,2.8,2.3,3.9215,4.41,3.433,3.9215,4.41,3.433
2023-04-02T23:00:00Z,38.133,38.133,38.133,2.3,2.5,2.1,3.4545,3.84,3.069,3.4545,3.84,3.069
2023-04-03T00:00:00Z,40.334,40.334,40.334,2.2,2.3,2,3.1605,3.513,2.808,3.1605,3.513,2.808
2023-04-03T01:00:00Z,42.867,42.867,42.867,2.2,2.4,2.1,3.3985000000000003,3.822,2.975,3.3985000000000003,3.822,2.975
2023-04-03T02:00:00Z,44.867,44.867,44.867,2.5,2.7,2.3,3.835,4.312,3.358,3.835,4.312,3.358
2023-04-03T03:00:00Z,45.566,45.566,45.566,2.5,2.7,2.3,3.875,4.337,3.413,3.875,4.337,3.413
2023-04-03T04:00:00Z,46,46,46,2.7,2.9,2.5,4.162,4.651,3.673,4.162,4.651,3.673
2023-04-03T05:00:00Z,49.266,49.266,49.266,2.8,3,2.6,4.39,4.781,3.999,4.39,4.781,3.999
2023-04-03T06:00:00Z,52.5,52.5,52.5,3.5,3.8,3.2,5.6995000000000005,6.32,5.079,5.6995000000000005,6.32,5.079
2023-04-03T07:00:00Z,52.5,52.5,52.5,4.3,4.7,3.9,7.5625,8.284,6.841,7.5625,8.284,6.841
2023-04-03T08:00:00Z,53.3,53.3,53.3,4.8,5.1,4.4,8.715,9.479,7.951,8.715,9.479,7.951
2023-04-03T09:00:00Z,48.9,48.9,48.9,3.7,4.1,3.3,6.4735,7.2,5.747,6.4735,7.2,5.747
2023-04-03T10:00:00Z,38.234,38.234,38.234,1.8,1.9,1.7,2.5780000000000003,2.773,2.383,2.5780000000000003,2.773,2.383
2023-04-03T11:00:00Z,31.166,31.166,31.166,1.4,1.5,1.3,1.788,2.024,1.552,1.788,2.024,1.552
2023-04-03T12:00:00Z,30.334,30.334,30.334,1.3,1.4,1.2,1.629,1.825,1.433,1.629,1.825,1.433
2023-04-03T13:00:00Z,27.6,27.6,27.6,1.1,1.1,1,1.173,1.355,0.991,1.173,1.355,0.991
2023-04-03T14:00:00Z,23.733,23.733,23.733,0.9,1,0.9,0.9005,1.041,0.76,0.9005,1.041,0.76
2023-04-03T15:00:00Z,27.633,27.633,27.633,1,1.1,0.9,1.0855,1.281,0.89,1.0855,1.281,0.89
2023-04-03T16:00:00Z,28.8,28.8,28.8,1.3,1.3,1.2,1.5415,1.798,1.285,1.5415,1.798,1.285
2023-04-03T17:00:00Z,20.7,20.7,20.7,1.3,1.3,1.2,1.384,1.445,1.323,1.384,1.445,1.323
2023-04-03T18:00:00Z,18.633,18.633,18.633,1.6,1.7,1.5,1.9140000000000001,2.104,1.724,1.9140000000000001,2.104,1.724
2023-04-03T19:00:00Z,23.534,23.534,23.534,1.6,1.7,1.5,1.9660000000000002,2.196,1.736,1.9660000000000002,2.196,1.736
2023-04-03T20:00:00Z,28.633,28.633,28.633,1.8,1.9,1.7,2.5265000000000004,2.716,2.337,2.5265000000000004,2.716,2.337
2023-04-03T21:00:00Z,29.434,29.434,29.434,1.2,1.2,1.1,1.2845,1.455,1.114,1.2845,1.455,1.114
2023-04-03T22:00:00Z,40.767,40.767,40.767,2.1,2.3,2,3.1550000000000002,3.494,2.816,3.1550000000000002,3.494,2.816
2023-04-03T23:00:00Z,42.933,42.933,42.933,3.4,3.7,3.1,5.4985,6.092,4.905,5.4985,6.092,4.905
2023-04-04T00:00:00Z,41.834,41.834,41.834,1.7,1.8,1.6,2.3735,2.638,2.109,2.3735,2.638,2.109
2023-04-04T01:00:00Z,39.133,39.133,39.133,1.2,1.3,1.1,1.3490000000000002,1.594,1.104,1.3490000000000002,1.594,1.104
2023-04-04T02:00:00Z,43.034,43.034,43.034,1.1,1.2,0.9,1.1625,1.391,0.934,1.1625,1.391,0.934
2023-04-04T03:00:00Z,52.666,52.666,52.666,1.2,1.3,1.1,1.366,1.576,1.156,1.366,1.576,1.156
2023-04-04T04:00:00Z,55.034,55.034,55.034,2.1,2.2,2,3.187,3.433,2.941,3.187,3.433,2.941
2023-04-04T05:00:00Z,56.367,56.367,56.367,2.6,2.8,2.3,3.9785000000000004,4.461,3.496,3.9785000000000004,4.461,3.496
2023-04-04T06:00:00Z,56.2,56.2,56.2,2.5,2.7,2.2,3.7875,4.32,3.255,3.7875,4.32,3.255
2023-04-04T07:00:00Z,56.2,56.2,56.2,2.3,2.6,2.1,3.448,3.936,2.96,3.448,3.936,2.96
2023-04-04T08:00:00Z,55.966,55.966,55.966,2.2,2.4,2,3.1285,3.523,2.734,3.1285,3.523,2.734
2023-04-04T09:00:00Z,57.267,57.267,57.267,3.1,3.5,2.7,5.0809999999999995,5.859,4.303,5.0809999999999995,5.859,4.303
2023-04-04T10:00:00Z,57.166,57.166,57.166,3.4,3.8,3.1,5.9065,6.671,5.142,5.9065,6.671,5.142
2023-04-04T11:00:00Z,57,57,57,2.8,3.2,2.5,4.416,5.134,3.698,4.416,5.134,3.698
2023-04-04T12:00:00Z,56.433,56.433,56.433,2.9,3.3,2.6,4.7085,5.395,4.022,4.7085,5.395,4.022
2023-04-04T13:00:00Z,56.834,56.834,56.834,3.2,3.7,2.7,5.4175,6.361,4.474,5.4175,6.361,4.474
2023-04-04T14:00:00Z,57.133,57.133,57.133,4.6,5.2,3.9,8.4255,9.716,7.135,8.4255,9.716,7.135
2023-04-04T15:00:00Z,56.466,56.466,56.466,5.4,6,4.7,9.732,11.055,8.409,9.732,11.055,8.409
2023-04-04T16:00:00Z,58.466,58.466,58.466,7.4,8,6.7,14.042,15.436,12.648,14.042,15.436,12.648
2023-04-04T17:00:00Z,59.584,59.584,59.584,8,8.7,7.3,15.252,16.797,13.707,15.252,16.797,13.707
2023-04-04T18:00:00Z,59.9,59.9,59.9,9.5,10.3,8.7,18.18,19.765,16.595,18.18,19.765,16.595
2023-04-04T19:00:00Z,60.466,60.466,60.466,5,5.3,4.7,8.4595,9.086,7.833,8.4595,9.086,7.833
2023-04-04T20:00:00Z,56.9,56.9,56.9,6,6.6,5.3,10.305,11.567,9.043,10.305,11.567,9.043
2023-04-04T21:00:00Z,60.633,60.633,60.633,8.7,9.8,7.7,16.7695,18.855,14.684,16.7695,18.855,14.684
2023-04-04T22:00:00Z,60.067,60.067,60.067,11.6,13,10.2,23.249000000000002,26.139,20.359,23.264000000000003,26.169,20.359
2023-04-04T23:00:00Z,58.933,58.933,58.933,12,13.3,10.8,23.924500000000002,26.585,21.264,23.9455,26.627,21.264
2023-04-05T00:00:00Z,59.834,59.834,59.834,14.8,16.6,13,28.6295,31.959,25.3,29.222,33.056,25.388
2023-04-05T01:00:00Z,61.433,61.433,61.433,20.8,23.4,18.2,35.4815,38.505,32.458,39.2185,44.358,34.079
2023-04-05T02:00:00Z,57.8,57.8,57.8,17.7,18.9,16.5,29.73,31.742,27.718,31.553,34.377,28.729
2023-04-05T03:00:00Z,55.434,55.434,55.434,17,18.1,15.9,28.9265,30.91,26.943,29.921,32.518,27.324
2023-04-05T04:00:00Z,55.2,55.2,55.2,18.1,19.1,17,30.625,32.31,28.94,32.123,34.565,29.681
2023-04-05T05:00:00Z,54.2,54.2,54.2,18.1,19.2,17.1,30.6265,32.329,28.924,31.886,34.372,29.4
2023-04-05T06:00:00Z,54.466,54.466,54.466,16.3,17.1,15.5,28.032,29.674,26.39,28.407,30.352,26.462
2023-04-05T07:00:00Z,54.233,54.233,54.233,13.7,14.3,13,23.872,25.513,22.231,23.89,25.549,22.231
2023-04-05T08:00:00Z,56.767,56.767,56.767,12.8,13.4,12.2,22.284,23.742,20.826,22.284,23.742,20.826
2023-04-05T09:00:00Z,57,57,57,13.7,14.3,13,24.201500000000003,25.879,22.524,24.214,25.904,22.524
2023-04-05T10:00:00Z,56.567,56.567,56.567,12.7,13.5,11.9,22.204,23.954,20.454,22.2055,23.957,20.454
